"Symbol"	"Entrez"	"Description"
"STIP1"	"10963"	"stress induced phosphoprotein 1"
"SCNN1B"	"6338"	"sodium channel epithelial 1 subunit beta"
"HR"	"55806"	"HR lysine demethylase and nuclear receptor corepressor"
"TXNDC2"	"84203"	"thioredoxin domain containing 2"
"RAB31"	"11031"	"RAB31, member RAS oncogene family"
"REEP4"	"80346"	"receptor accessory protein 4"
"TNXB"	"7148"	"tenascin XB"
"LGI3"	"203190"	"leucine rich repeat LGI family member 3"
"SFTPC"	"6440"	"surfactant protein C"
"BMP1"	"649"	"bone morphogenetic protein 1"
"ATXN2L"	"11273"	"ataxin 2 like"
"PHYHIP"	"9796"	"phytanoyl-CoA 2-hydroxylase interacting protein"
"CCDC110"	"256309"	"coiled-coil domain containing 110"
"POLR3D"	"661"	"RNA polymerase III subunit D"
"FEN1"	"2237"	"flap structure-specific endonuclease 1"
"CAVIN2"	"8436"	"caveolae associated protein 2"
"MTCL1"	"23255"	"microtubule crosslinking factor 1"
"GBX2"	"2637"	"gastrulation brain homeobox 2"
"HJV"	"148738"	"hemojuvelin BMP co-receptor"
"SCGB1D1"	"10648"	"secretoglobin family 1D member 1"
"HEXIM2"	"124790"	"HEXIM P-TEFb complex subunit 2"
"FNTA"	"2339"	"farnesyltransferase, CAAX box, alpha"
"SERINC2"	"347735"	"serine incorporator 2"
"MYL1"	"4632"	"myosin light chain 1"
"TRAPPC11"	"60684"	"trafficking protein particle complex subunit 11"
"CHRM1"	"1128"	"cholinergic receptor muscarinic 1"
"COL3A1"	"1281"	"collagen type III alpha 1 chain"
"GFRA2"	"2675"	"GDNF family receptor alpha 2"
"ING2"	"3622"	"inhibitor of growth family member 2"
"CDKN2AIP"	"55602"	"CDKN2A interacting protein"
"SNRNP48"	"154007"	"small nuclear ribonucleoprotein U11/U12 subunit 48"
"TMEM223"	"79064"	"transmembrane protein 223"
"SLC20A2"	"6575"	"solute carrier family 20 member 2"
"CRYGA"	"1418"	"crystallin gamma A"
"DYNLRB2"	"83657"	"dynein light chain roadblock-type 2"
"TMUB2"	"79089"	"transmembrane and ubiquitin like domain containing 2"
"ADAM29"	"11086"	"ADAM metallopeptidase domain 29"
"STAT3"	"6774"	"signal transducer and activator of transcription 3"
"ZSWIM1"	"90204"	"zinc finger SWIM-type containing 1"
"ADAM9"	"8754"	"ADAM metallopeptidase domain 9"
"ADAM18"	"8749"	"ADAM metallopeptidase domain 18"
"GDNF"	"2668"	"glial cell derived neurotrophic factor"
"SPINT5P"	"-"	"-"
"MUCL3"	"135656"	"mucin like 3"
"WFDC13"	"164237"	"WAP four-disulfide core domain 13"
"AXIN2"	"8313"	"axin 2"
"NDUFS5"	"4725"	"NADH:ubiquinone oxidoreductase subunit S5"
"VWA3B"	"200403"	"von Willebrand factor A domain containing 3B"
"ZNF30"	"90075"	"zinc finger protein 30"
"UGT3A2"	"167127"	"UDP glycosyltransferase family 3 member A2"
"LRATD2"	"157638"	"LRAT domain containing 2"
"LDLRAD4"	"753"	"low density lipoprotein receptor class A domain containing 4"
"KCTD19"	"146212"	"potassium channel tetramerization domain containing 19"
"SLC16A4"	"9122"	"solute carrier family 16 member 4"
"IL7R"	"3575"	"interleukin 7 receptor"
"TMEM208"	"29100"	"transmembrane protein 208"
"LRP1B"	"53353"	"LDL receptor related protein 1B"
"WFDC12"	"128488"	"WAP four-disulfide core domain 12"
"AHCYL1"	"10768"	"adenosylhomocysteinase like 1"
"DNAJC21"	"134218"	"DnaJ heat shock protein family (Hsp40) member C21"
"PKIG"	"11142"	"cAMP-dependent protein kinase inhibitor gamma"
"NPNT"	"255743"	"nephronectin"
"LINC01620"	"101927242"	"long intergenic non-protein coding RNA 1620"
"CA7"	"766"	"carbonic anhydrase 7"
"FAM178B"	"51252"	"family with sequence similarity 178 member B"
"TSPY2"	"64591"	"testis specific protein Y-linked 2"
"SEMA4C"	"54910"	"semaphorin 4C"
"CNNM3"	"26505"	"cyclin and CBS domain divalent metal cation transport mediator 3"
"GSTM4"	"2948"	"glutathione S-transferase mu 4"
"TET2"	"54790"	"tet methylcytosine dioxygenase 2"
"CXXC4"	"80319"	"CXXC finger protein 4"
"TCTN2"	"79867"	"tectonic family member 2"
"SHOX2"	"6474"	"short stature homeobox 2"
"PPIP5K1"	"9677"	"diphosphoinositol pentakisphosphate kinase 1"
"TSPAN5"	"10098"	"tetraspanin 5"
"ABHD15"	"116236"	"abhydrolase domain containing 15"
"ZBTB5"	"9925"	"zinc finger and BTB domain containing 5"
"CHTF8"	"54921"	"chromosome transmission fidelity factor 8"
"ADAL"	"161823"	"adenosine deaminase like"
"LCMT2"	"9836"	"leucine carboxyl methyltransferase 2"
"SNTB2"	"6645"	"syntrophin beta 2"
"IL12A"	"3592"	"interleukin 12A"
"ZNF507"	"22847"	"zinc finger protein 507"
"STX18"	"53407"	"syntaxin 18"
"NSG1"	"27065"	"neuronal vesicle trafficking associated 1"
"ZBTB49"	"166793"	"zinc finger and BTB domain containing 49"
"GFM1"	"85476"	"G elongation factor mitochondrial 1"
"OR13J1"	"392309"	"olfactory receptor family 13 subfamily J member 1"
"HTR1E"	"3354"	"5-hydroxytryptamine receptor 1E"
"FSTL5"	"56884"	"follistatin like 5"
"TPTE2P5"	"-"	"-"
"DDX19A"	"55308"	"DEAD-box helicase 19A"
"ATOH8"	"84913"	"atonal bHLH transcription factor 8"
"SOX14"	"8403"	"SRY-box transcription factor 14"
"ANKRD49"	"54851"	"ankyrin repeat domain 49"
"SFTPB"	"6439"	"surfactant protein B"
"USP39"	"10713"	"ubiquitin specific peptidase 39"
"TNIP2"	"79155"	"TNFAIP3 interacting protein 2"
"C2orf68"	"388969"	"chromosome 2 open reading frame 68"
"TMEM150A"	"129303"	"transmembrane protein 150A"
"RNF181"	"51255"	"ring finger protein 181"
"VAMP5"	"10791"	"vesicle associated membrane protein 5"
"BTNL3"	"10917"	"butyrophilin like 3"
"LRRC28"	"123355"	"leucine rich repeat containing 28"
"MAT2A"	"4144"	"methionine adenosyltransferase 2A"
"PLA2G4F"	"255189"	"phospholipase A2 group IVF"
"ENHO"	"375704"	"energy homeostasis associated"
"ZNF608"	"57507"	"zinc finger protein 608"
"SLC35G2"	"80723"	"solute carrier family 35 member G2"
"INPP5D"	"3635"	"inositol polyphosphate-5-phosphatase D"
"LETM1"	"3954"	"leucine zipper and EF-hand containing transmembrane protein 1"
"CTRB1"	"1504"	"chymotrypsinogen B1"
"CTRB2"	"440387"	"chymotrypsinogen B2"
"TRIM49"	"57093"	"tripartite motif containing 49"
"TMEM129"	"92305"	"transmembrane protein 129, E3 ubiquitin ligase"
"PPIC"	"5480"	"peptidylprolyl isomerase C"
"SPRY3"	"10251"	"sprouty RTK signaling antagonist 3"
"CEP120"	"153241"	"centrosomal protein 120"
"STXBP6"	"29091"	"syntaxin binding protein 6"
"TM4SF20"	"79853"	"transmembrane 4 L six family member 20"
"MFF"	"56947"	"mitochondrial fission factor"
"GRM5"	"2915"	"glutamate metabotropic receptor 5"
"LGALS9"	"3965"	"galectin 9"
"PMCHL1"	"-"	"-"
"JMJD7-PLA2G4B"	"8681"	"JMJD7-PLA2G4B readthrough"
"OR7E102P"	"-"	"-"
"CPLX1"	"10815"	"complexin 1"
"PXDC1"	"221749"	"PX domain containing 1"
"SIGLEC7"	"27036"	"sialic acid binding Ig like lectin 7"
"NTSR2"	"23620"	"neurotensin receptor 2"
"E2F6"	"1876"	"E2F transcription factor 6"
"FEM1B"	"10116"	"fem-1 homolog B"
"COMMD8"	"54951"	"COMM domain containing 8"
"ATP5ME"	"521"	"ATP synthase membrane subunit e"
"UQCRFS1"	"7386"	"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
"SLC49A3"	"84179"	"solute carrier family 49 member 3"
"COL4A3"	"1285"	"collagen type IV alpha 3 chain"
"MAP2K1"	"5604"	"mitogen-activated protein kinase kinase 1"
"KLK7"	"5650"	"kallikrein related peptidase 7"
"HNRNPH1"	"3187"	"heterogeneous nuclear ribonucleoprotein H1"
"IRS1"	"3667"	"insulin receptor substrate 1"
"MECP2"	"4204"	"methyl-CpG binding protein 2"
"VCX3A"	"51481"	"variable charge X-linked 3A"
"UPF3A"	"65110"	"UPF3A regulator of nonsense mediated mRNA decay"
"ZBBX"	"79740"	"zinc finger B-box domain containing"
"ACTBL2"	"345651"	"actin beta like 2"
"ROR2"	"4920"	"receptor tyrosine kinase like orphan receptor 2"
"BRD7P3"	"-"	"-"
"AR"	"367"	"androgen receptor"
"VXN"	"254778"	"vexin"
"HSPBAP1"	"79663"	"HSPB1 associated protein 1"
"CHST14"	"113189"	"carbohydrate sulfotransferase 14"
"PARM1"	"25849"	"prostate androgen-regulated mucin-like protein 1"
"CSNK1G1"	"53944"	"casein kinase 1 gamma 1"
"FAM110B"	"90362"	"family with sequence similarity 110 member B"
"ODAD2"	"55130"	"outer dynein arm docking complex subunit 2"
"AFAP1L2"	"84632"	"actin filament associated protein 1 like 2"
"ZNF354A"	"6940"	"zinc finger protein 354A"
"ATF5"	"22809"	"activating transcription factor 5"
"UBE2V2"	"7336"	"ubiquitin conjugating enzyme E2 V2"
"GOT1L1"	"137362"	"glutamic-oxaloacetic transaminase 1 like 1"
"ZBTB43"	"23099"	"zinc finger and BTB domain containing 43"
"ENSG00000169164"	"-"	"-"
"CPT1C"	"126129"	"carnitine palmitoyltransferase 1C"
"PCSK9"	"255738"	"proprotein convertase subtilisin/kexin type 9"
"XPO6"	"23214"	"exportin 6"
"GSG1L"	"146395"	"GSG1 like"
"MN1"	"4330"	"MN1 proto-oncogene, transcriptional regulator"
"APEX2"	"27301"	"apurinic/apyrimidinic endodeoxyribonuclease 2"
"NSMCE1"	"197370"	"NSE1 homolog, SMC5-SMC6 complex component"
"CCDC126"	"90693"	"coiled-coil domain containing 126"
"IL13"	"3596"	"interleukin 13"
"NPIPB12"	"440353"	"nuclear pore complex interacting protein family member B12"
"OR10G3"	"26533"	"olfactory receptor family 10 subfamily G member 3"
"RAB3B"	"5865"	"RAB3B, member RAS oncogene family"
"OR6F1"	"343169"	"olfactory receptor family 6 subfamily F member 1"
"CD2BP2"	"10421"	"CD2 cytoplasmic tail binding protein 2"
"RSPO1"	"284654"	"R-spondin 1"
"RGS14"	"10636"	"regulator of G protein signaling 14"
"TBC1D10B"	"26000"	"TBC1 domain family member 10B"
"LMAN2"	"10960"	"lectin, mannose binding 2"
"GCSAML"	"148823"	"germinal center associated signaling and motility like"
"RAB24"	"53917"	"RAB24, member RAS oncogene family"
"PRELID1"	"27166"	"PRELI domain containing 1"
"THBS3"	"7059"	"thrombospondin 3"
"CA5B"	"11238"	"carbonic anhydrase 5B"
"SLC50A1"	"55974"	"solute carrier family 50 member 1"
"EFNA1"	"1942"	"ephrin A1"
"CXCL10"	"3627"	"C-X-C motif chemokine ligand 10"
"NPIPB3"	"23117"	"nuclear pore complex interacting protein family member B3"
"SH3TC2"	"79628"	"SH3 domain and tetratricopeptide repeats 2"
"CXCL11"	"6373"	"C-X-C motif chemokine ligand 11"
"ZRSR2"	"8233"	"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2"
"NMD3"	"51068"	"NMD3 ribosome export adaptor"
"ADRB2"	"154"	"adrenoceptor beta 2"
"RPL36P14"	"-"	"-"
"B3GALNT1"	"8706"	"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
"GPRIN1"	"114787"	"G protein regulated inducer of neurite outgrowth 1"
"HSPB3"	"8988"	"heat shock protein family B (small) member 3"
"KCNAB1"	"7881"	"potassium voltage-gated channel subfamily A regulatory beta subunit 1"
"MRPL1"	"65008"	"mitochondrial ribosomal protein L1"
"SHE"	"126669"	"Src homology 2 domain containing E"
"NR0B1"	"190"	"nuclear receptor subfamily 0 group B member 1"
"PGM2"	"55276"	"phosphoglucomutase 2"
"STK32A"	"202374"	"serine/threonine kinase 32A"
"IL1RAPL1"	"11141"	"interleukin 1 receptor accessory protein like 1"
"P2RY12"	"64805"	"purinergic receptor P2Y12"
"C22orf15"	"150248"	"chromosome 22 open reading frame 15"
"GUSBP12"	"-"	"-"
"OR5AU1"	"390445"	"olfactory receptor family 5 subfamily AU member 1"
"MINAR1"	"23251"	"membrane integral NOTCH2 associated receptor 1"
"PDILT"	"204474"	"protein disulfide isomerase like, testis expressed"
"UMOD"	"7369"	"uromodulin"
"GP2"	"2813"	"glycoprotein 2"
"SLC33A1"	"9197"	"solute carrier family 33 member 1"
"SNUPN"	"10073"	"snurportin 1"
"CRADD"	"8738"	"CASP2 and RIPK1 domain containing adaptor with death domain"
"SIN3A"	"25942"	"SIN3 transcription regulator family member A"
"ARL13B"	"200894"	"ADP ribosylation factor like GTPase 13B"
"RNASE2"	"6036"	"ribonuclease A family member 2"
"ELSPBP1"	"64100"	"epididymal sperm binding protein 1"
"RNASE3"	"6037"	"ribonuclease A family member 3"
"PTK2"	"5747"	"protein tyrosine kinase 2"
"RSPH10B2"	"222967"	"radial spoke head 10 homolog B"
"PTAFR"	"5724"	"platelet activating factor receptor"
"PTPN9"	"5780"	"protein tyrosine phosphatase non-receptor type 9"
"RNASE6"	"6039"	"ribonuclease A family member k6"
"NPR1"	"4881"	"natriuretic peptide receptor 1"
"KCNK9"	"51305"	"potassium two pore domain channel subfamily K member 9"
"CXCL8"	"3576"	"C-X-C motif chemokine ligand 8"
"SCN9A"	"6335"	"sodium voltage-gated channel alpha subunit 9"
"RASSF6"	"166824"	"Ras association domain family member 6"
"COL22A1"	"169044"	"collagen type XXII alpha 1 chain"
"SDC2"	"6383"	"syndecan 2"
"CD52"	"1043"	"CD52 molecule"
"MMGT1"	"93380"	"membrane magnesium transporter 1"
"SPRR1B"	"6699"	"small proline rich protein 1B"
"SPRR1A"	"6698"	"small proline rich protein 1A"
"OR4K14"	"122740"	"olfactory receptor family 4 subfamily K member 14"
"OR4K15"	"81127"	"olfactory receptor family 4 subfamily K member 15"
"TM2D2"	"83877"	"TM2 domain containing 2"
"HTRA4"	"203100"	"HtrA serine peptidase 4"
"PLEKHA2"	"59339"	"pleckstrin homology domain containing A2"
"CLIC4"	"25932"	"chloride intracellular channel 4"
"SLC38A11"	"151258"	"solute carrier family 38 member 11"
"GPR183"	"1880"	"G protein-coupled receptor 183"
"CRCT1"	"54544"	"cysteine rich C-terminal 1"
"CCDC8"	"83987"	"coiled-coil domain containing 8"
"METTL15"	"196074"	"methyltransferase 15, mitochondrial 12S rRNA N4-cytidine"
"ZNF280A"	"129025"	"zinc finger protein 280A"
"MUC15"	"143662"	"mucin 15, cell surface associated"
"CT55"	"54967"	"cancer/testis antigen 55"
"ZEB2"	"9839"	"zinc finger E-box binding homeobox 2"
"GJB1"	"2705"	"gap junction protein beta 1"
"PCBP1"	"5093"	"poly(rC) binding protein 1"
"HINT1"	"3094"	"histidine triad nucleotide binding protein 1"
"DTWD2"	"285605"	"DTW domain containing 2"
"VPREB1"	"7441"	"V-set pre-B cell surrogate light chain 1"
"CLIC3"	"9022"	"chloride intracellular channel 3"
"INO80E"	"283899"	"INO80 complex subunit E"
"BNC1"	"646"	"basonuclin 1"
"DFFB"	"1677"	"DNA fragmentation factor subunit beta"
"NFU1"	"27247"	"NFU1 iron-sulfur cluster scaffold"
"ANTXR1"	"84168"	"ANTXR cell adhesion molecule 1"
"GKN1"	"56287"	"gastrokine 1"
"CKAP2L"	"150468"	"cytoskeleton associated protein 2 like"
"C15orf40"	"123207"	"chromosome 15 open reading frame 40"
"RAMAC"	"83640"	"RNA guanine-7 methyltransferase activating subunit"
"PROKR1"	"10887"	"prokineticin receptor 1"
"APLF"	"200558"	"aprataxin and PNKP like factor"
"BOLA2B"	"124907841"	"bolA family member 2B"
"RGPD8"	"727851"	"RANBP2 like and GRIP domain containing 5"
"HIC2"	"23119"	"HIC ZBTB transcriptional repressor 2"
"LUZP1"	"7798"	"leucine zipper protein 1"
"HEXD"	"284004"	"hexosaminidase D"
"BCRP6"	"-"	"-"
"BCRP2"	"-"	"-"
"DRD5"	"1816"	"dopamine receptor D5"
"BUB1"	"699"	"BUB1 mitotic checkpoint serine/threonine kinase"
"SPNS1"	"83985"	"SPNS lysolipid transporter 1, lysophospholipid"
"LRRC45"	"201255"	"leucine rich repeat containing 45"
"CHRNA5"	"1138"	"cholinergic receptor nicotinic alpha 5 subunit"
"MT1B"	"4490"	"metallothionein 1B"
"CENPX"	"201254"	"centromere protein X"
"AGPAT2"	"10555"	"1-acylglycerol-3-phosphate O-acyltransferase 2"
"ASPSCR1"	"79058"	"ASPSCR1 tether for SLC2A4, UBX domain containing"
"GP9"	"2815"	"glycoprotein IX platelet"
"FASN"	"2194"	"fatty acid synthase"
"CNBP"	"7555"	"CCHC-type zinc finger nucleic acid binding protein"
"MT1E"	"4493"	"metallothionein 1E"
"ACTRT2"	"140625"	"actin related protein T2"
"DUS1L"	"64118"	"dihydrouridine synthase 1 like"
"GPS1"	"2873"	"G protein pathway suppressor 1"
"RFNG"	"5986"	"RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"DCXR"	"51181"	"dicarbonyl and L-xylulose reductase"
"ZNF32"	"7580"	"zinc finger protein 32"
"LDB2"	"9079"	"LIM domain binding 2"
"RAC3"	"5881"	"Rac family small GTPase 3"
"NRG4"	"145957"	"neuregulin 4"
"LIMS1"	"3987"	"LIM zinc finger domain containing 1"
"TMEM266"	"123591"	"transmembrane protein 266"
"NLGN1"	"22871"	"neuroligin 1"
"TAPT1"	"202018"	"transmembrane anterior posterior transformation 1"
"PRYP3"	"-"	"-"
"UGP2"	"7360"	"UDP-glucose pyrophosphorylase 2"
"TAS2R1"	"50834"	"taste 2 receptor member 1"
"LINGO1"	"84894"	"leucine rich repeat and Ig domain containing 1"
"PRY"	"9081"	"PTPN13 like Y-linked"
"RBMY1F"	"159163"	"RNA binding motif protein Y-linked family 1 member F"
"PRY2"	"442862"	"PTPN13 like Y-linked 2"
"RBMY1HP"	"-"	"-"
"HNRNPF"	"3185"	"heterogeneous nuclear ribonucleoprotein F"
"BTD"	"686"	"biotinidase"
"CSGALNACT2"	"55454"	"chondroitin sulfate N-acetylgalactosaminyltransferase 2"
"TACR3"	"6870"	"tachykinin receptor 3"
"GSX1"	"219409"	"GS homeobox 1"
"TSPY14P"	"-"	"-"
"PCDH7"	"5099"	"protocadherin 7"
"ROBO1"	"6091"	"roundabout guidance receptor 1"
"ONECUT1"	"3175"	"one cut homeobox 1"
"AVEN"	"57099"	"apoptosis and caspase activation inhibitor"
"P2RY1"	"5028"	"purinergic receptor P2Y1"
"CTNND2"	"1501"	"catenin delta 2"
"TRIM56"	"81844"	"tripartite motif containing 56"
"MUC17"	"140453"	"mucin 17, cell surface associated"
"AHSP"	"51327"	"alpha hemoglobin stabilizing protein"
"WNT10B"	"7480"	"Wnt family member 10B"
"CALML6"	"163688"	"calmodulin like 6"
"REPS2"	"9185"	"RALBP1 associated Eps domain containing 2"
"MUC3A"	"4584"	"mucin 3A, cell surface associated"
"SYAP1"	"94056"	"synapse associated protein 1"
"ITGAM"	"3684"	"integrin subunit alpha M"
"PYDC1"	"260434"	"pyrin domain containing 1"
"TPST1"	"8460"	"tyrosylprotein sulfotransferase 1"
"TM4SF4"	"7104"	"transmembrane 4 L six family member 4"
"TOR1AIP2"	"163590"	"torsin 1A interacting protein 2"
"S100G"	"795"	"S100 calcium binding protein G"
"TM4SF1"	"4071"	"transmembrane 4 L six family member 1"
"OTUD3"	"23252"	"OTU deubiquitinase 3"
"OTUD7A"	"161725"	"OTU deubiquitinase 7A"
"GUSB"	"2990"	"glucuronidase beta"
"BRD3"	"8019"	"bromodomain containing 3"
"KLF13"	"51621"	"KLF transcription factor 13"
"FRMPD4"	"9758"	"FERM and PDZ domain containing 4"
"ZFPM2"	"23414"	"zinc finger protein, FOG family member 2"
"ZNF764"	"92595"	"zinc finger protein 764"
"HSFY2"	"159119"	"heat shock transcription factor Y-linked 2"
"ZNF747"	"65988"	"zinc finger protein 747"
"ZNF768"	"79724"	"zinc finger protein 768"
"TAS1R3"	"83756"	"taste 1 receptor member 3"
"TMEM42"	"131616"	"transmembrane protein 42"
"MAP3K2"	"10746"	"mitogen-activated protein kinase kinase kinase 2"
"PUSL1"	"126789"	"pseudouridine synthase like 1"
"SF3B5"	"83443"	"splicing factor 3b subunit 5"
"ZNF35"	"7584"	"zinc finger protein 35"
"TIGD4"	"201798"	"tigger transposable element derived 4"
"IFFO2"	"126917"	"intermediate filament family orphan 2"
"NLGN2"	"57555"	"neuroligin 2"
"MYO7B"	"4648"	"myosin VIIB"
"CHD3"	"1107"	"chromodomain helicase DNA binding protein 3"
"TMEM154"	"201799"	"transmembrane protein 154"
"MYRIP"	"25924"	"myosin VIIA and Rab interacting protein"
"ALCAM"	"214"	"activated leukocyte cell adhesion molecule"
"YWHAG"	"7532"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma"
"UBE2E3"	"10477"	"ubiquitin conjugating enzyme E2 E3"
"CNTROB"	"116840"	"centrobin, centriole duplication and spindle assembly protein"
"TRAPPC1"	"58485"	"trafficking protein particle complex subunit 1"
"ZPLD1"	"131368"	"zona pellucida like domain containing 1"
"KCNAB3"	"9196"	"potassium voltage-gated channel subfamily A regulatory beta subunit 3"
"SERPINA9"	"327657"	"serpin family A member 9"
"FAM153A"	"285596"	"family with sequence similarity 153 member A"
"GPR37L1"	"9283"	"G protein-coupled receptor 37 like 1"
"SIMC1"	"375484"	"SUMO interacting motifs containing 1"
"TMEM192"	"201931"	"transmembrane protein 192"
"ENSG00000170089"	"-"	"-"
"NSG2"	"51617"	"neuronal vesicle trafficking associated 2"
"SPDYE5"	"442590"	"speedy/RINGO cell cycle regulator family member E5"
"SERPINA6"	"866"	"serpin family A member 6"
"ZNF778"	"197320"	"zinc finger protein 778"
"NIPA1"	"123606"	"NIPA magnesium transporter 1"
"FOXD4"	"2298"	"forkhead box D4"
"GPR25"	"2848"	"G protein-coupled receptor 25"
"UBE2E1"	"7324"	"ubiquitin conjugating enzyme E2 E1"
"HNRNPA3"	"220988"	"heterogeneous nuclear ribonucleoprotein A3"
"SIK2"	"23235"	"salt inducible kinase 2"
"RNF150"	"57484"	"ring finger protein 150"
"CCDC144A"	"9720"	"coiled-coil domain containing 144A"
"FAM88B"	"-"	"-"
"VGLL2"	"245806"	"vestigial like family member 2"
"HOXD4"	"3233"	"homeobox D4"
"CHRNB1"	"1140"	"cholinergic receptor nicotinic beta 1 subunit"
"HOXD12"	"3238"	"homeobox D12"
"GYPA"	"2993"	"glycophorin A (MNS blood group)"
"USP38"	"84640"	"ubiquitin specific peptidase 38"
"SLC16A5"	"9121"	"solute carrier family 16 member 5"
"NANP"	"140838"	"N-acetylneuraminic acid phosphatase"
"ANKK1"	"255239"	"ankyrin repeat and kinase domain containing 1"
"ADRA1B"	"147"	"adrenoceptor alpha 1B"
"ADPRM"	"56985"	"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
"FABP6"	"2172"	"fatty acid binding protein 6"
"PWWP2A"	"114825"	"PWWP domain containing 2A"
"USP50"	"373509"	"ubiquitin specific peptidase 50"
"USP47"	"55031"	"ubiquitin specific peptidase 47"
"PDCD6IP"	"10015"	"programmed cell death 6 interacting protein"
"MRGPRX1"	"124906949"	"MAS related GPR family member X1"
"ZNF212"	"7988"	"zinc finger protein 212"
"MRAP"	"56246"	"melanocortin 2 receptor accessory protein"
"FAM161A"	"84140"	"FAM161 centrosomal protein A"
"ZNF282"	"8427"	"zinc finger protein 282"
"GLB1"	"2720"	"galactosidase beta 1"
"GON7"	"84520"	"GON7 subunit of KEOPS complex"
"FAXDC2"	"10826"	"fatty acid hydroxylase domain containing 2"
"CRTAP"	"10491"	"cartilage associated protein"
"HSPB2"	"3316"	"heat shock protein family B (small) member 2"
"C7orf33"	"202865"	"chromosome 7 open reading frame 33"
"CNGB3"	"54714"	"cyclic nucleotide gated channel subunit beta 3"
"SLN"	"6588"	"sarcolipin"
"ELP5"	"23587"	"elongator acetyltransferase complex subunit 5"
"CMTM8"	"152189"	"CKLF like MARVEL transmembrane domain containing 8"
"GABARAP"	"11337"	"GABA type A receptor-associated protein"
"LGALS9B"	"284194"	"galectin 9B"
"STX8"	"9482"	"syntaxin 8"
"CDK1"	"983"	"cyclin dependent kinase 1"
"UBB"	"7314"	"ubiquitin B"
"NFRKB"	"4798"	"nuclear factor related to kappaB binding protein"
"FABP4"	"2167"	"fatty acid binding protein 4"
"FRMPD2"	"143162"	"FERM and PDZ domain containing 2"
"PRDM10"	"56980"	"PR/SET domain 10"
"B3GNT2"	"10678"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
"FOS"	"2353"	"Fos proto-oncogene, AP-1 transcription factor subunit"
"TMED10"	"10972"	"transmembrane p24 trafficking protein 10"
"OR2A20P"	"401428"	"olfactory receptor family 2 subfamily A member 20 pseudogene"
"SETMAR"	"6419"	"SET domain and mariner transposase fusion gene"
"SMAD1"	"4086"	"SMAD family member 1"
"CST5"	"1473"	"cystatin D"
"CST2"	"1470"	"cystatin SA"
"EMX2"	"2018"	"empty spiracles homeobox 2"
"CST1"	"1469"	"cystatin SN"
"SP7"	"121340"	"Sp7 transcription factor"
"TCAF2"	"285966"	"TRPM8 channel associated factor 2"
"SEMA3E"	"9723"	"semaphorin 3E"
"LRRN2"	"10446"	"leucine rich repeat neuronal 2"
"SLC30A1"	"7779"	"solute carrier family 30 member 1"
"DCLK2"	"166614"	"doublecortin like kinase 2"
"ZNF804A"	"91752"	"zinc finger protein 804A"
"ENSG00000170409"	"-"	"-"
"GPRC5C"	"55890"	"G protein-coupled receptor class C group 5 member C"
"TMEM182"	"130827"	"transmembrane protein 182"
"VSTM2A"	"222008"	"V-set and transmembrane domain containing 2A"
"KRT8"	"3856"	"keratin 8"
"KRT78"	"196374"	"keratin 78"
"ADORA2B"	"136"	"adenosine A2b receptor"
"SDR9C7"	"121214"	"short chain dehydrogenase/reductase family 9C member 7"
"MGMT"	"4255"	"O-6-methylguanine-DNA methyltransferase"
"TMT1B"	"196410"	"thiol methyltransferase 1B"
"KRT86"	"3892"	"keratin 86"
"HARS1"	"3035"	"histidyl-tRNA synthetase 1"
"NFXL1"	"152518"	"nuclear transcription factor, X-box binding like 1"
"KRT75"	"9119"	"keratin 75"
"DENND5B"	"160518"	"DENN domain containing 5B"
"CD14"	"929"	"CD14 molecule"
"DNAJC18"	"202052"	"DnaJ heat shock protein family (Hsp40) member C18"
"KRT6C"	"286887"	"keratin 6C"
"RIOX1"	"79697"	"ribosomal oxygenase 1"
"SPATA24"	"202051"	"spermatogenesis associated 24"
"RALGAPB"	"57148"	"Ral GTPase activating protein non-catalytic subunit beta"
"PYM1"	"84305"	"PYM homolog 1, exon junction complex associated factor"
"MZB1"	"51237"	"marginal zone B and B1 cell specific protein"
"KRT4"	"3851"	"keratin 4"
"SLC23A1"	"9963"	"solute carrier family 23 member 1"
"KRT74"	"121391"	"keratin 74"
"NPAS2"	"4862"	"neuronal PAS domain protein 2"
"KRT72"	"140807"	"keratin 72"
"KISS1"	"3814"	"KiSS-1 metastasis suppressor"
"LONRF2"	"164832"	"LON peptidase N-terminal domain and ring finger 2"
"NUDT9"	"53343"	"nudix hydrolase 9"
"HSD17B13"	"345275"	"hydroxysteroid 17-beta dehydrogenase 13"
"PA2G4"	"5036"	"proliferation-associated 2G4"
"COX7B2"	"170712"	"cytochrome c oxidase subunit 7B2"
"ELOVL6"	"79071"	"ELOVL fatty acid elongase 6"
"KRT83"	"3889"	"keratin 83"
"PFKFB3"	"5209"	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
"TMC7"	"79905"	"transmembrane channel like 7"
